customer_id,cohort_month,segment,monthly_spending,months_to_churn,contract_type
77,13,standard,166.55,31.6,annual
78,19,standard,135.24,9.4,multi-year
79,9,standard,145.05,29.2,month-to-month
80,9,churn_risk,48.39,0.3,month-to-month
81,20,standard,184.32,5.2,annual
82,21,standard,167.96,1.7,month-to-month
83,20,churn_risk,38.46,71.4,month-to-month
84,21,high_value,413.95,34.9,annual
85,3,high_value,408.02,90.4,month-to-month
86,16,high_value,375.71,40.5,annual
87,17,churn_risk,53.25,1.5,annual
88,7,standard,146.6,5.5,annual
89,11,high_value,400.17,28.4,month-to-month
90,24,standard,96.8,24.1,month-to-month
91,4,high_value,562.44,19.5,month-to-month
92,20,standard,155.09,11.9,month-to-month
93,8,standard,145.17,16.0,month-to-month
94,21,standard,113.89,15.0,annual
95,13,standard,90.6,14.8,annual
96,1,standard,196.3,34.2,annual
97,3,standard,125.07,23.5,annual
98,20,high_value,389.48,40.3,month-to-month
99,19,high_value,398.19,38.4,month-to-month
100,6,churn_risk,32.07,53.8,month-to-month
101,16,churn_risk,33.72,4.3,annual
102,13,standard,137.04,87.1,month-to-month
103,2,standard,228.99,15.7,month-to-month
104,17,churn_risk,64.57,7.4,annual
105,4,churn_risk,33.51,52.5,month-to-month
106,10,churn_risk,60.41,12.1,month-to-month
107,1,standard,120.75,25.0,month-to-month
108,6,standard,143.67,42.7,month-to-month
109,23,high_value,505.01,88.1,annual
110,13,churn_risk,33.19,5.7,annual
111,18,standard,186.7,0.8,annual
112,8,standard,204.81,1.6,annual
113,2,standard,160.25,24.8,month-to-month
114,15,standard,183.32,2.7,month-to-month
115,6,high_value,528.37,8.7,annual
116,3,churn_risk,43.01,2.6,month-to-month
117,12,churn_risk,44.18,3.4,annual
118,10,churn_risk,29.55,3.9,annual
119,3,standard,141.05,10.0,month-to-month
120,15,standard,90.54,62.4,month-to-month
121,11,standard,180.08,64.0,annual
122,24,standard,145.99,1.8,month-to-month
123,3,high_value,495.83,14.4,annual
124,12,standard,138.12,14.7,month-to-month
125,20,high_value,424.82,18.2,month-to-month
126,11,standard,135.95,19.6,annual
127,6,standard,165.94,50.9,month-to-month
128,24,high_value,409.24,4.5,month-to-month
129,8,high_value,502.96,104.8,month-to-month
130,23,standard,165.57,46.2,month-to-month
131,21,high_value,745.47,71.3,annual
132,17,churn_risk,51.54,0.8,annual
133,19,standard,146.76,17.4,month-to-month
134,14,standard,158.82,16.0,annual
135,17,standard,120.34,12.0,month-to-month
136,7,high_value,487.9,77.3,annual
137,2,churn_risk,30.86,8.9,annual
138,15,standard,141.42,28.0,multi-year
139,20,churn_risk,31.38,1.2,annual
140,21,high_value,469.84,42.8,annual
141,19,standard,121.27,12.7,multi-year
142,24,standard,120.57,3.1,annual
143,15,churn_risk,30.51,10.4,annual
144,5,standard,156.0,16.2,month-to-month
145,5,standard,148.17,10.0,annual
146,7,standard,135.29,61.5,annual
147,24,standard,140.17,11.1,multi-year
148,22,standard,158.39,3.8,annual
149,18,standard,166.58,80.1,month-to-month
150,21,high_value,558.62,40.8,month-to-month
151,9,churn_risk,24.66,3.8,month-to-month
152,18,churn_risk,55.71,12.5,month-to-month
153,5,high_value,483.31,51.4,annual
154,3,standard,161.48,59.0,month-to-month
155,16,high_value,404.33,22.6,month-to-month
156,17,standard,121.09,11.1,month-to-month
157,15,standard,107.33,8.4,annual
158,12,standard,95.86,12.5,month-to-month
159,15,churn_risk,38.88,12.7,month-to-month
160,9,churn_risk,41.38,0.0,annual
161,8,high_value,470.23,13.0,month-to-month
162,7,churn_risk,42.86,1.4,annual
163,9,standard,127.08,38.7,annual
164,8,high_value,537.11,42.4,month-to-month
165,4,standard,96.07,38.4,annual
166,13,standard,191.56,0.3,annual
167,10,churn_risk,39.37,11.5,month-to-month
168,4,churn_risk,32.81,23.2,month-to-month
169,22,standard,139.34,30.9,month-to-month
170,13,churn_risk,38.24,0.4,month-to-month
171,4,standard,115.15,2.1,month-to-month
172,2,standard,139.05,13.1,multi-year
173,3,standard,103.06,6.3,month-to-month
174,10,churn_risk,42.79,29.6,multi-year
175,6,high_value,479.11,36.0,annual
176,24,high_value,535.68,83.7,annual
177,12,standard,115.61,5.1,annual
178,18,churn_risk,32.29,5.0,annual
179,6,churn_risk,38.62,0.3,multi-year
180,2,churn_risk,57.86,27.2,month-to-month
181,9,churn_risk,38.16,49.2,month-to-month
182,17,churn_risk,49.33,0.7,month-to-month
183,19,standard,137.2,20.4,month-to-month
184,5,standard,133.14,38.3,month-to-month
185,8,churn_risk,16.28,17.1,annual
186,12,standard,137.0,14.7,month-to-month
187,9,standard,159.33,34.7,annual
188,8,high_value,551.2,16.8,annual
189,24,churn_risk,51.2,1.9,month-to-month
190,23,standard,174.16,19.2,month-to-month
191,9,churn_risk,27.55,7.0,annual
192,2,standard,149.87,22.5,month-to-month
193,9,high_value,483.54,7.0,month-to-month
194,22,churn_risk,51.52,11.4,month-to-month
195,22,high_value,495.49,84.3,month-to-month
196,17,high_value,474.76,21.9,annual
197,17,standard,175.94,8.6,month-to-month
198,9,churn_risk,55.85,0.6,month-to-month
199,11,high_value,537.45,59.9,annual
200,22,standard,133.68,64.5,annual
201,6,churn_risk,49.85,16.4,month-to-month
202,10,churn_risk,40.24,22.1,month-to-month
203,22,standard,180.51,63.3,month-to-month
204,17,high_value,472.66,36.7,month-to-month
205,3,high_value,529.53,27.6,month-to-month
206,19,standard,150.3,17.8,annual
207,2,high_value,511.93,24.4,month-to-month
208,7,standard,171.25,16.3,annual
209,23,high_value,375.08,122.6,month-to-month
210,2,standard,134.16,0.4,month-to-month
211,5,standard,149.06,10.3,multi-year
212,21,standard,210.45,53.9,annual
213,17,high_value,533.82,63.8,annual
214,6,churn_risk,30.4,4.3,month-to-month
215,9,churn_risk,50.5,4.4,annual
216,23,churn_risk,38.73,5.8,annual
217,15,high_value,504.98,51.3,month-to-month
218,8,high_value,592.21,18.7,month-to-month
219,4,churn_risk,41.77,2.9,month-to-month
220,10,standard,148.86,48.0,annual
221,8,standard,173.87,13.5,annual
222,11,standard,177.96,1.3,month-to-month
223,2,standard,163.78,61.6,multi-year
224,12,churn_risk,35.42,0.5,multi-year
225,6,standard,169.13,7.1,annual
226,24,churn_risk,42.91,1.5,month-to-month
227,7,high_value,416.6,27.8,month-to-month
228,6,standard,134.23,5.0,annual
229,8,standard,126.36,83.0,annual
230,15,high_value,513.14,22.3,month-to-month
231,18,high_value,463.07,117.6,month-to-month
232,8,standard,121.57,16.8,multi-year
233,17,churn_risk,42.26,1.6,month-to-month
234,4,standard,157.94,41.8,multi-year
235,5,churn_risk,33.3,0.7,annual
236,7,churn_risk,48.74,10.8,annual
237,17,standard,148.08,42.5,month-to-month
238,14,churn_risk,64.52,10.0,month-to-month
239,12,high_value,380.73,105.4,multi-year
240,15,high_value,364.92,42.0,annual
241,5,churn_risk,57.04,0.6,month-to-month
242,7,churn_risk,66.03,0.2,annual
243,17,standard,155.91,58.1,month-to-month
244,24,standard,118.03,5.0,annual
245,1,standard,129.75,12.0,month-to-month
246,9,churn_risk,38.16,0.0,month-to-month
247,22,standard,172.94,1.4,month-to-month
248,20,standard,152.19,24.5,annual
249,7,standard,150.51,91.6,month-to-month
250,1,standard,141.24,23.2,multi-year
251,14,standard,127.69,24.6,annual
252,17,churn_risk,34.33,0.4,multi-year
253,7,standard,181.67,38.4,annual
254,8,standard,187.51,18.4,month-to-month
255,17,standard,149.2,14.4,multi-year
256,13,churn_risk,26.44,11.8,month-to-month
257,7,churn_risk,40.7,2.4,multi-year
258,21,high_value,610.71,97.9,month-to-month
259,22,high_value,513.38,16.9,annual
260,18,standard,104.35,19.9,annual
261,23,high_value,481.21,48.0,annual
262,9,churn_risk,42.12,20.9,annual
263,3,standard,143.8,8.0,month-to-month
264,18,high_value,394.46,46.9,month-to-month
265,14,churn_risk,44.48,1.8,month-to-month
266,10,high_value,604.81,30.9,multi-year
267,7,standard,190.21,8.4,month-to-month
268,2,high_value,445.73,18.7,month-to-month
269,5,high_value,516.89,72.7,month-to-month
270,16,high_value,502.11,65.4,annual
271,6,high_value,648.12,24.9,multi-year
272,23,high_value,493.76,11.2,multi-year
273,12,high_value,458.96,20.1,month-to-month
274,3,standard,130.41,13.8,annual
275,16,standard,135.72,16.0,month-to-month
276,17,standard,171.38,35.2,annual
277,5,standard,135.32,17.2,annual
278,21,standard,102.95,59.2,month-to-month
279,18,churn_risk,32.89,3.3,annual
280,15,churn_risk,46.52,9.7,month-to-month
281,3,high_value,514.51,73.3,month-to-month
282,12,high_value,522.55,52.9,month-to-month
283,24,standard,147.65,26.0,month-to-month
284,6,standard,99.48,42.9,month-to-month
285,23,standard,188.39,7.0,month-to-month
286,5,standard,168.62,24.0,annual
287,15,high_value,718.34,17.2,annual
288,10,standard,179.2,86.9,multi-year
289,2,standard,124.38,0.8,month-to-month
290,16,high_value,492.56,44.4,annual
291,12,churn_risk,43.65,33.6,multi-year
292,8,high_value,414.67,6.4,month-to-month
293,6,churn_risk,46.72,4.5,annual
294,12,high_value,469.86,47.7,multi-year
295,3,churn_risk,49.31,10.6,annual
296,15,churn_risk,35.43,29.2,month-to-month
297,3,churn_risk,44.99,13.2,month-to-month
298,6,churn_risk,56.59,3.3,month-to-month
299,13,churn_risk,48.41,0.2,annual
300,18,standard,196.35,19.1,annual
301,10,churn_risk,43.98,8.5,month-to-month
302,16,high_value,514.34,21.7,month-to-month
303,23,standard,145.18,13.5,month-to-month
304,15,standard,182.2,1.8,annual
305,19,churn_risk,36.61,5.4,month-to-month
306,12,standard,157.14,2.5,month-to-month
307,7,standard,170.09,21.6,annual
308,9,standard,159.35,31.4,month-to-month
309,9,standard,135.13,59.5,annual
310,14,high_value,527.8,47.6,month-to-month
311,4,standard,109.87,41.3,annual
312,19,standard,184.94,82.0,annual
313,4,standard,91.85,0.8,month-to-month
314,17,standard,173.63,87.8,month-to-month
315,12,standard,184.89,24.0,multi-year
316,18,standard,114.37,22.5,annual
317,5,standard,136.46,10.8,month-to-month
318,6,standard,112.15,29.2,annual
319,7,standard,131.55,75.4,month-to-month
320,19,churn_risk,41.01,20.0,annual
321,7,churn_risk,30.02,4.2,annual
322,9,standard,178.63,26.1,month-to-month
323,4,standard,169.72,7.5,annual
324,6,standard,165.37,26.4,month-to-month
325,21,churn_risk,53.53,1.8,annual
326,3,standard,136.63,18.3,month-to-month
327,22,churn_risk,36.68,39.7,multi-year
328,20,standard,93.49,9.6,annual
329,23,standard,117.13,20.0,annual
330,15,standard,141.23,13.9,month-to-month
331,17,churn_risk,34.15,10.8,month-to-month
332,21,standard,121.43,7.6,annual
333,18,standard,173.99,1.2,month-to-month
334,14,churn_risk,31.08,10.9,multi-year
335,11,high_value,389.46,45.5,annual
336,21,standard,197.61,4.0,multi-year
337,8,high_value,461.86,8.3,month-to-month
338,14,churn_risk,35.95,5.1,month-to-month
339,2,high_value,641.67,54.4,month-to-month
340,16,churn_risk,38.53,10.9,multi-year
341,4,high_value,433.32,29.4,month-to-month
342,2,churn_risk,59.58,14.8,annual
343,8,churn_risk,36.48,5.5,annual
344,17,standard,156.92,49.3,multi-year
345,20,churn_risk,63.2,3.7,multi-year
346,15,churn_risk,59.76,5.2,annual
347,16,churn_risk,59.13,5.5,month-to-month
348,6,standard,114.13,14.3,annual
349,3,standard,186.27,8.7,annual
350,3,high_value,560.61,133.2,annual
351,2,standard,150.53,19.7,month-to-month
352,9,high_value,472.11,42.6,annual
353,18,standard,146.79,28.2,month-to-month
354,2,standard,162.75,24.9,annual
355,9,standard,117.99,8.3,month-to-month
356,15,standard,137.04,123.7,annual
357,2,churn_risk,50.68,1.1,month-to-month
358,14,churn_risk,28.19,16.6,month-to-month
359,10,standard,144.96,8.3,multi-year
360,23,standard,154.41,9.3,annual
361,12,churn_risk,57.31,0.2,month-to-month
362,13,high_value,496.7,31.1,annual
363,21,high_value,395.98,15.9,annual
364,18,high_value,478.54,34.0,annual
365,14,standard,157.28,13.4,month-to-month
366,16,standard,162.7,58.0,annual
367,10,churn_risk,29.04,19.1,month-to-month
368,17,standard,132.18,21.0,annual
369,8,standard,106.14,5.2,month-to-month
370,8,churn_risk,33.25,17.1,annual
371,20,churn_risk,38.48,17.0,month-to-month
372,10,standard,140.98,12.1,month-to-month
373,13,standard,144.12,6.2,multi-year
374,3,standard,105.34,13.6,multi-year
375,9,high_value,513.42,13.5,multi-year
376,16,high_value,493.45,42.8,annual
377,13,churn_risk,36.8,10.4,month-to-month
378,8,standard,126.46,12.2,annual
379,1,standard,130.91,1.6,month-to-month
380,14,churn_risk,54.27,18.7,month-to-month
381,9,standard,151.81,9.1,month-to-month
382,23,churn_risk,52.45,16.1,month-to-month
383,2,churn_risk,42.39,1.1,month-to-month
384,17,standard,134.46,28.3,month-to-month
385,10,standard,150.68,48.9,annual
386,7,churn_risk,50.49,5.2,multi-year
387,18,churn_risk,45.38,22.1,month-to-month
388,13,churn_risk,43.53,12.1,month-to-month
389,2,high_value,482.78,57.1,month-to-month
390,15,churn_risk,39.56,0.4,annual
391,5,standard,133.42,11.2,month-to-month
392,21,high_value,537.85,42.5,annual
393,6,standard,164.94,14.1,month-to-month
394,20,standard,123.08,43.7,annual
395,8,high_value,409.06,77.0,annual
396,8,standard,147.13,30.3,month-to-month
397,1,churn_risk,35.47,18.2,multi-year
398,23,standard,148.42,66.5,annual
399,14,standard,172.68,14.2,month-to-month
400,4,standard,138.32,3.2,annual
401,1,standard,197.04,3.8,month-to-month
402,7,churn_risk,21.61,4.5,multi-year
403,12,churn_risk,53.89,2.4,month-to-month
404,1,high_value,516.9,6.6,multi-year
405,9,churn_risk,36.2,36.3,annual
406,8,churn_risk,37.06,5.2,annual
407,21,standard,195.49,12.7,month-to-month
408,10,churn_risk,35.6,0.0,month-to-month
409,3,high_value,361.02,9.5,multi-year
410,6,churn_risk,46.76,13.1,annual
411,20,standard,124.47,38.7,multi-year
412,1,standard,146.35,42.3,annual
413,4,high_value,583.71,79.9,annual
414,1,churn_risk,49.58,3.0,multi-year
415,2,high_value,485.1,1.8,annual
416,23,standard,116.1,8.1,month-to-month
417,24,high_value,554.86,10.1,annual
418,18,churn_risk,37.52,11.9,month-to-month
419,3,high_value,325.78,51.6,annual
420,17,churn_risk,43.95,4.4,month-to-month
421,19,standard,160.32,6.0,multi-year
422,19,high_value,542.88,34.7,multi-year
423,18,high_value,443.55,6.6,multi-year
424,17,high_value,497.18,4.5,month-to-month
425,11,standard,134.13,48.5,annual
426,2,churn_risk,38.13,0.0,month-to-month
427,20,standard,150.15,29.8,month-to-month
428,23,churn_risk,53.93,0.3,annual
429,13,high_value,544.17,11.6,month-to-month
430,11,churn_risk,47.83,19.2,month-to-month
431,23,churn_risk,25.0,2.6,annual
432,11,churn_risk,49.11,15.9,annual
433,9,standard,140.31,2.8,month-to-month
434,22,churn_risk,44.73,0.3,annual
435,23,high_value,490.54,15.6,multi-year
436,5,standard,236.4,13.9,month-to-month
437,7,high_value,534.42,65.7,annual
438,8,standard,143.2,23.5,annual
439,4,churn_risk,34.78,2.3,month-to-month
440,21,standard,140.92,51.0,month-to-month
441,24,churn_risk,33.6,6.5,month-to-month
442,13,high_value,473.09,41.4,annual
443,18,churn_risk,52.3,4.9,annual
444,11,high_value,590.84,33.8,month-to-month
445,24,standard,174.85,3.2,month-to-month
446,23,churn_risk,53.18,3.6,annual
447,18,churn_risk,45.37,3.3,month-to-month
448,22,standard,179.64,50.0,month-to-month
449,4,high_value,484.9,3.0,multi-year
450,22,standard,154.09,4.7,month-to-month
451,11,high_value,486.29,21.5,annual
452,6,churn_risk,37.7,7.5,month-to-month
453,23,churn_risk,35.04,0.2,month-to-month
454,21,high_value,487.58,43.6,month-to-month
455,4,high_value,495.21,60.3,multi-year
456,16,high_value,411.77,38.6,annual
457,22,churn_risk,35.4,0.3,month-to-month
458,17,standard,180.62,9.2,annual
459,12,churn_risk,39.81,8.7,annual
460,2,standard,227.3,37.4,annual
461,12,standard,138.98,91.9,annual
462,14,high_value,431.42,24.8,annual
463,21,churn_risk,56.28,9.0,month-to-month
464,6,standard,118.41,1.2,annual
465,5,standard,219.15,74.2,annual
466,23,standard,157.99,8.3,annual
467,21,standard,177.28,25.3,annual
468,14,churn_risk,27.36,21.0,annual
469,11,high_value,567.02,83.0,annual
470,15,standard,193.73,12.2,multi-year
471,4,standard,163.2,23.7,annual
472,6,standard,147.79,27.4,annual
473,14,high_value,554.82,3.1,annual
474,11,high_value,549.46,41.3,month-to-month
475,5,standard,127.63,34.9,annual
476,13,standard,185.09,0.3,annual
477,16,standard,155.56,24.7,month-to-month
478,20,standard,106.59,11.1,annual
479,16,standard,210.35,16.4,month-to-month
480,15,standard,119.66,71.8,month-to-month
481,14,standard,177.93,34.8,month-to-month
482,3,standard,153.19,13.8,month-to-month
483,10,standard,107.96,22.4,annual
484,11,standard,144.65,45.8,annual
485,13,high_value,527.23,36.7,month-to-month
486,8,standard,139.05,58.4,month-to-month
487,18,standard,112.14,11.2,month-to-month
488,13,standard,160.24,2.5,annual
489,8,standard,172.99,28.8,annual
490,12,standard,146.46,12.9,annual
491,18,churn_risk,43.63,12.5,month-to-month
492,1,standard,138.38,3.3,month-to-month
493,9,standard,162.51,25.1,multi-year
494,5,standard,87.98,4.9,multi-year
495,8,churn_risk,39.91,0.4,annual
496,16,standard,135.57,4.4,month-to-month
497,6,standard,137.36,39.9,month-to-month
498,14,standard,147.32,19.9,month-to-month
499,10,standard,110.93,17.7,month-to-month
500,2,standard,101.55,7.1,annual
501,22,churn_risk,48.06,0.2,month-to-month
502,15,churn_risk,33.09,24.0,multi-year
503,8,churn_risk,41.1,2.9,annual
504,13,standard,121.64,29.8,multi-year
505,24,standard,159.77,19.1,multi-year
506,4,churn_risk,52.89,13.6,month-to-month
507,21,standard,136.95,19.4,annual
508,1,churn_risk,45.5,0.2,annual
509,21,standard,121.5,6.1,month-to-month
510,9,high_value,460.34,31.8,month-to-month
511,8,high_value,453.77,22.2,month-to-month
512,19,churn_risk,38.38,11.2,month-to-month
513,4,high_value,492.23,27.5,annual
514,4,standard,203.29,85.2,month-to-month
515,12,standard,138.36,29.7,month-to-month
516,23,high_value,580.22,22.9,annual
517,8,standard,147.48,6.1,annual
518,14,churn_risk,34.57,0.9,month-to-month
519,10,high_value,509.19,17.9,annual
520,19,churn_risk,59.79,48.3,multi-year
521,22,churn_risk,30.32,8.6,month-to-month
522,24,standard,184.53,14.0,annual
523,7,high_value,428.49,24.7,month-to-month
524,7,standard,151.34,55.0,annual
525,23,high_value,399.97,65.9,multi-year
526,14,standard,162.21,58.0,month-to-month
527,8,churn_risk,62.0,12.6,annual
528,9,churn_risk,45.19,12.7,month-to-month
529,5,churn_risk,42.1,4.2,annual
530,3,standard,126.51,17.5,annual
531,9,standard,148.93,89.4,month-to-month
532,20,churn_risk,55.98,13.7,multi-year
533,16,standard,197.83,22.7,annual
534,1,standard,158.31,13.2,month-to-month
535,2,high_value,557.42,22.2,annual
536,21,standard,154.04,5.7,month-to-month
537,20,standard,140.81,15.7,multi-year
538,20,high_value,607.42,36.6,month-to-month
539,21,high_value,386.83,18.4,month-to-month
540,16,churn_risk,56.66,0.0,annual
541,9,churn_risk,44.34,1.2,annual
542,15,standard,115.81,71.9,annual
543,16,churn_risk,48.48,9.4,month-to-month
544,21,churn_risk,32.04,4.8,annual
545,13,high_value,560.22,1.8,month-to-month
546,2,standard,180.55,59.0,annual
547,15,standard,145.35,57.5,month-to-month
548,18,high_value,525.42,13.8,annual
549,23,churn_risk,41.15,43.2,annual
550,5,standard,129.66,6.0,annual
551,21,standard,113.63,28.6,month-to-month
552,1,high_value,441.49,6.5,annual
553,18,high_value,510.16,20.1,annual
554,8,churn_risk,36.53,47.7,multi-year
555,3,high_value,418.94,4.9,month-to-month
556,8,standard,155.5,53.0,annual
557,14,standard,118.96,61.3,annual
558,5,standard,180.87,19.3,multi-year
559,14,standard,131.01,27.0,month-to-month
560,18,standard,149.53,0.8,month-to-month
561,22,high_value,479.65,38.1,multi-year
562,14,standard,157.73,46.9,month-to-month
563,15,churn_risk,60.06,0.4,annual
564,23,standard,154.34,38.3,month-to-month
565,1,standard,173.1,45.0,multi-year
566,19,standard,133.15,3.0,annual
567,24,churn_risk,58.49,11.7,month-to-month
568,20,high_value,496.05,38.1,annual
569,23,standard,147.67,89.5,month-to-month
570,22,standard,163.86,8.5,month-to-month
571,15,standard,193.87,14.5,annual
572,20,churn_risk,32.23,3.2,month-to-month
573,9,standard,170.71,23.0,month-to-month
574,3,churn_risk,31.71,12.7,annual
575,3,churn_risk,41.66,36.6,month-to-month
576,5,standard,176.74,29.7,multi-year
577,18,churn_risk,62.61,10.9,annual
578,10,standard,138.99,25.3,multi-year
579,20,churn_risk,38.91,0.4,annual
580,8,standard,158.3,9.4,multi-year
581,19,standard,188.08,49.8,month-to-month
582,22,standard,146.32,7.0,annual
583,8,high_value,589.96,22.4,multi-year
584,13,standard,158.47,4.5,annual
585,13,churn_risk,73.75,1.4,multi-year
586,22,standard,109.02,17.9,multi-year
587,9,high_value,476.36,1.9,month-to-month
588,10,standard,166.82,3.9,annual
589,19,high_value,448.05,62.2,month-to-month
590,22,high_value,519.61,47.7,multi-year
591,1,churn_risk,30.55,4.3,multi-year
592,2,standard,153.74,86.4,annual
593,23,standard,164.72,30.3,month-to-month
594,11,standard,139.59,9.2,month-to-month
595,14,high_value,536.52,20.5,month-to-month
596,22,standard,104.52,9.9,annual
597,10,churn_risk,36.17,0.7,multi-year
598,11,standard,168.32,46.0,month-to-month
599,21,churn_risk,31.99,0.2,annual
600,18,standard,129.45,9.5,annual
601,17,standard,111.06,19.5,annual
602,9,churn_risk,44.53,1.5,month-to-month
603,17,churn_risk,38.66,20.5,month-to-month
604,20,churn_risk,61.03,23.0,month-to-month
605,22,churn_risk,37.84,11.7,month-to-month
606,16,churn_risk,53.45,0.3,month-to-month
607,21,churn_risk,32.49,22.2,annual
608,20,high_value,445.8,85.9,annual
609,18,churn_risk,40.5,4.7,month-to-month
610,13,standard,151.79,51.6,annual
611,11,standard,198.92,17.8,annual
612,16,standard,125.98,18.5,month-to-month
613,22,churn_risk,26.21,7.2,month-to-month
614,13,churn_risk,62.9,32.5,month-to-month
615,17,standard,130.38,9.3,month-to-month
616,14,churn_risk,41.61,3.5,annual
617,16,churn_risk,53.35,2.0,month-to-month
618,17,standard,169.92,22.4,month-to-month
619,2,high_value,426.25,1.9,month-to-month
620,3,high_value,431.12,20.6,month-to-month
621,1,churn_risk,28.47,4.0,annual
622,19,standard,141.92,22.6,annual
623,22,churn_risk,29.89,5.6,annual
624,9,standard,168.2,98.6,annual
625,2,churn_risk,32.7,10.0,month-to-month
626,1,standard,140.54,37.6,month-to-month
627,11,churn_risk,36.92,10.8,annual
628,16,high_value,590.28,18.4,annual
629,8,standard,136.48,32.1,annual
630,15,churn_risk,56.47,5.6,annual
631,4,churn_risk,38.27,4.6,annual
632,18,churn_risk,49.23,1.9,annual
633,8,high_value,533.06,0.3,annual
634,24,standard,127.06,2.0,multi-year
635,19,high_value,471.97,32.0,month-to-month
636,12,high_value,574.65,43.4,month-to-month
637,23,standard,156.22,30.3,annual
638,24,churn_risk,66.95,14.0,month-to-month
639,5,churn_risk,40.02,4.8,month-to-month
640,14,churn_risk,29.27,47.5,annual
641,16,churn_risk,32.86,5.5,annual
642,9,churn_risk,50.43,2.4,annual
643,24,high_value,445.34,66.2,month-to-month
644,17,standard,126.92,5.7,month-to-month
645,19,standard,135.0,25.3,annual
646,5,churn_risk,36.6,2.2,month-to-month
647,22,high_value,489.49,53.9,month-to-month
648,24,standard,180.29,1.4,annual
649,22,standard,215.75,3.3,multi-year
650,11,high_value,418.01,29.9,month-to-month
651,23,standard,159.83,55.0,month-to-month
652,1,churn_risk,28.37,5.8,month-to-month
653,5,standard,181.66,16.5,month-to-month
654,16,standard,137.86,19.1,annual
655,19,churn_risk,82.21,13.5,month-to-month
656,3,standard,141.14,49.8,month-to-month
657,8,churn_risk,57.65,48.9,multi-year
658,3,standard,153.09,42.9,month-to-month
659,3,standard,129.79,26.9,annual
660,1,standard,136.13,13.1,multi-year
661,24,standard,167.11,24.7,annual
662,22,churn_risk,34.37,11.5,month-to-month
663,15,high_value,570.81,11.2,month-to-month
664,1,high_value,440.42,6.0,multi-year
665,18,standard,148.29,40.4,multi-year
666,13,churn_risk,72.15,20.0,month-to-month
667,19,churn_risk,77.16,4.4,annual
668,12,churn_risk,68.05,21.0,month-to-month
669,1,standard,143.79,70.2,month-to-month
